Month,Event count
Aug-25,6412
Aug-25,6437
Aug-25,6605
Aug-25,6896
Aug-25,6511
Aug-25,6379
Aug-25,6073
Aug-25,6228
Aug-25,5287
Aug-25,5698
Aug-25,5579
Sep-25,6200
Sep-25,6007
Sep-25,5250
Sep-25,5091
Sep-25,5277
Sep-25,5053
Sep-25,5517
Sep-25,5790
Sep-25,9843
Sep-25,6667
Sep-25,6844
Sep-25,7619
Sep-25,5884
Sep-25,6088
Sep-25,5725
Sep-25,5798
Sep-25,5359
Sep-25,5793
Sep-25,7549
Sep-25,5936
Sep-25,5821
Sep-25,8450
Sep-25,17467
Sep-25,11734
Sep-25,13043
Sep-25,13456
Sep-25,8359
Sep-25,7763
Sep-25,7588
Sep-25,6467
